CODGEO;LIBGEO;DEP N°;Région;Zone avant révision 2025;Reclassements 5 septembre 2025
74013;Anthy-sur-Léman;74;Auvergne-Rhône-Alpes;B1;A
74014;Arâches-la-Frasse;74;Auvergne-Rhône-Alpes;B1;A
74025;Ballaison;74;Auvergne-Rhône-Alpes;B1;A
74034;Le Biot;74;Auvergne-Rhône-Alpes;C;B1
74062;Charvonnex;74;Auvergne-Rhône-Alpes;B1;A
74080;La Clusaz;74;Auvergne-Rhône-Alpes;A;Abis
74085;Les Contamines-Montjoie;74;Auvergne-Rhône-Alpes;B1;A
74097;Cusy;74;Auvergne-Rhône-Alpes;B2;B1
74098;Cuvat;74;Auvergne-Rhône-Alpes;B1;A
74099;Demi-Quartier;74;Auvergne-Rhône-Alpes;B1;Abis
74143;Les Houches;74;Auvergne-Rhône-Alpes;A;Abis
74160;Manigod;74;Auvergne-Rhône-Alpes;B1;A
74173;Megève;74;Auvergne-Rhône-Alpes;A;Abis
74188;Montriond;74;Auvergne-Rhône-Alpes;B1;A
74210;Perrignier;74;Auvergne-Rhône-Alpes;B1;A
74239;Saint-Jean-de-Sixt;74;Auvergne-Rhône-Alpes;B1;A
74266;Servoz;74;Auvergne-Rhône-Alpes;B1;A
74269;Seyssel;74;Auvergne-Rhône-Alpes;C;B2
74271;Seytroux;74;Auvergne-Rhône-Alpes;C;B1
74284;La Tour;74;Auvergne-Rhône-Alpes;B1;A
74299;Veyrier-du-Lac;74;Auvergne-Rhône-Alpes;B1;A
74303;Villaz;74;Auvergne-Rhône-Alpes;B1;A
74307;Villy-le-Pelloux;74;Auvergne-Rhône-Alpes;B1;A
76026;Arques-la-Bataille;76;Normandie;B2;B1
76057;Barentin;76;Normandie;B2;B1
76217;Dieppe;76;Normandie;B2;B1
76384;Lillebonne;76;Normandie;B2;B1
76476;Port-Jérôme-sur-Seine;76;Normandie;B2;B1
76482;Offranville;76;Normandie;B2;B1
76711;Le Tréport;76;Normandie;B2;B1
78003;Ablis;78;Île-de-France;B2;B1
80001;Abbeville;80;Hauts-de-France;B2;B1
80228;Le Crotoy;80;Hauts-de-France;C;B1
80721;Saint-Valery-sur-Somme;80;Hauts-de-France;C;B1
81004;Albi;81;Occitanie;B2;B1
84137;Vaison-la-Romaine;84;Provence-Alpes-Côte d'Azur;C;B2
85035;Bretignolles-sur-Mer;85;Pays de la Loire;B2;B1
85071;Commequiers;85;Pays de la Loire;C;B2
85214;Sainte-Foy;85;Pays de la Loire;C;B2
85250;Saint-Mathurin;85;Pays de la Loire;C;B2
85284;Soullans;85;Pays de la Loire;B2;B1
90009;Beaucourt;90;Bourgogne-Franche-Comté;C;B2
95370;Marines;95;Île-de-France;B2;B1
